True	Predicted
6.7955 6.9526
0.8110 1.8586
3.0497 5.6118
3.3008 3.1189
0.2454 1.0736
0.8122 0.8580
6.8902 6.5301
3.7907 2.5263
4.4393 4.4951
1.1754 0.9429
7.2946 7.5616
17.3981 23.5778
3.6123 4.4561
0.7730 1.0539
4.5533 4.6011
3.2967 4.4647
0.2510 0.2792
1.3047 0.9041
3.0862 3.5188
2.3486 2.2797
0.1018 0.5202
8.1877 6.2095
0.2525 0.4956
2.9270 2.3729
0.9231 0.6504
2.6728 1.5500
3.4895 3.0723
1.7326 2.1693
3.1859 7.0007
1.0052 0.9010
0.0324 0.2786
0.4951 0.3888
3.9143 3.9132
0.2790 0.2786
2.0486 2.7049
7.6115 24.8767
6.1161 4.4025
78.0127 77.9515
11.7940 24.8260
0.7395 0.3067
1.8776 1.1717
6.6591 7.6117
1.4359 0.9275
3.2024 3.1539
1.1754 0.9429
8.3353 7.5616
1.3379 1.4689
7.9180 6.2095
3.4335 3.5569
3.6979 4.6396
2.2590 2.2326
1.4661 1.0594
1.8641 2.1374
1.0172 2.4107
4.3918 4.2776
6.7890 10.9228
1.4642 1.7452
46.3565 69.9453
0.5290 0.1763
2.0561 1.0539
5.7510 6.8694
2.4383 3.1090
0.0934 1.7760
6.3286 6.7226
77.9740 90.7617
3.2504 2.9466
7.8085 7.5677
2.3533 1.7943
2.4102 1.7943
78.8896 69.9453
5.7776 6.5756
5.2876 11.1923
5.9245 5.9242
1.4493 1.0736
3.1662 3.6943
6.0611 5.5996
6.7038 6.1363
7.1056 6.9885
64.7893 79.0418
132.8276 99.3239
4.5103 3.9132
2.5415 4.0258
4.1723 4.1424
4.5594 4.4951
0.9175 2.1374
1.8135 3.5188
3.6684 3.1090
1.2238 1.8304
144.1050 100.9446
1.4206 0.9010
24.8524 24.8767
4.2976 3.0182
7.1779 4.9923
0.7727 0.5202
0.2407 0.9412
1.5985 2.3729
3.5401 3.1237
4.1854 4.5264
2.7998 3.1298
32.7879 68.7894
0.9008 0.7367
4.6005 4.4933
43.7491 68.7894
7.3377 6.5756
2.8992 2.2724
3.4162 3.3266
0.0526 0.8001
76.4783 92.4939
0.8115 0.8580
3.2054 3.5731
102.1214 102.2460
3.8985 3.3266
5.0400 4.6011
85.2235 90.5374
0.1441 0.1763
1.8449 2.2797
2.3392 2.9206
5.3754 5.6118
4.9419 6.8694
5.8603 5.4400
0.0478 -0.0965
3.2219 3.5803
9.4464 11.5674
3.6684 3.1090
2.9688 3.1189
1.2686 0.8673
6.7845 6.9526
0.2577 0.2786
5.1753 3.7126
3.5706 3.1539
0.7305 1.0064
0.2930 0.5393
1.2004 1.0736
0.4259 0.9275
5.9792 6.5301
3.5133 4.4933
0.3392 1.3067
5.6468 7.8675
2.8147 3.6943
2.1274 4.4951
7.0227 6.2353
117.7277 113.0186
88.4129 81.3910
2.1112 1.7392
0.3469 1.4709
7.5453 4.5653
1.1559 1.0942
1.3608 1.3281
30.4346 44.1677
0.5812 0.7511
1.3899 1.7392
2.0254 2.5337
3.0262 2.1987
0.6778 0.8844
3.7206 4.1453
14.3211 23.6949
99.0385 77.9515
105.2024 100.5327
0.7407 0.9010
3.2905 3.9132
3.5032 4.6011
1.4298 0.7367
3.7309 3.1189
1.6753 1.7760
2.8501 5.6161
24.3207 44.1677
6.0916 7.0007
3.2234 3.3394
17.2864 44.1677
1.4922 1.4689
0.5772 3.1345
7.1628 6.6438
1.3462 2.0658
11.9215 23.3869
1.0017 1.9817
47.6658 44.1677
2.0628 3.1345
2.8673 2.2724
1.7125 1.5784
1.1025 0.8782
1.4810 1.4825
5.7014 7.5616
1.7451 2.1374
1.4007 2.1308
93.1052 78.3601
3.1387 2.5548
32.9691 44.1677
37.4625 44.1677
4.4391 4.4951
8.9080 8.5425
1.0230 1.1765
3.3499 2.9206
3.2343 3.1539
1.8896 0.3452
0.8446 0.7429
4.0778 1.0902
11.0017 7.8675
3.2233 1.5177
6.8291 7.2528
65.9839 78.6319
4.7267 3.5749
2.0016 3.0865
1.8532 1.5784
0.5815 0.9041
0.2638 0.4877
8.1394 10.2322
4.5703 5.8363
4.5520 6.9885
1.2901 0.6335
4.5943 6.2353
0.4365 1.3067
9.1588 23.6304
6.0778 5.6693
1.4636 1.0594
2.6806 2.8602
32.6892 44.1677
10.3786 22.6081
3.2569 3.1539
5.4487 3.7126
35.5595 76.2365
5.6868 1.5784
1.5840 0.8001
7.9722 4.9923
2.7998 3.1298
7.9001 7.8675
0.6929 1.1765
0.2221 0.5202
7.8454 4.4647
0.8064 0.7743
76.3528 76.2673
8.5032 7.4666
5.0592 4.2478
2.7183 3.1539
1.6245 1.4689
2.1358 2.5492
3.9513 4.4561
1.6646 2.8602
2.0079 1.4133
4.7288 3.6943
2.2226 4.9923
4.1670 7.6117
2.0672 2.5337
0.3983 0.4877
1.9553 0.5030
0.2569 0.2579
2.9344 3.1090
114.0653 113.7030
68.3223 123.8571
0.1848 0.8452
2.4575 2.2724
1.3956 1.0942
1.9837 1.7999
6.6412 6.5301
36.7579 71.2773
0.8094 0.5030
2.9434 2.8602
5.4913 7.4666
22.1749 23.3869
7.7198 6.5301
17.7971 22.2545
2.1643 1.2055
1.1053 4.4009
3.8164 2.9466
3.2933 3.5749
82.5065 73.1390
1.3279 0.8844
2.4704 2.1374
2.9653 3.2748
1.8754 1.7848
2.8748 3.5803
30.3964 26.7902
0.9596 1.2154
1.2928 1.0736
1.1844 1.7839
6.4219 5.5996
8.6412 3.2754
1.2956 0.9010
3.4073 1.8883
3.7658 4.4933
3.0145 2.1693
3.7609 3.1310
0.6682 1.2233
2.5812 1.7301
7.1603 9.6884
0.4033 0.8782
52.5280 44.1677
2.7964 3.7126
2.1814 3.0182
81.7462 76.2505
2.5054 2.4107
0.1128 0.1763
4.8420 1.7760
2.0236 1.7301
2.5637 2.2724
48.9275 69.9453
145.3910 133.2812
3.3926 2.9658
2.2568 1.2233
34.8388 44.1677
5.0918 4.4951
4.1701 3.3883
4.5043 4.4025
2.5748 3.1237
2.4564 3.0865
0.0013 0.2579
4.7820 4.2776
4.5521 4.6217
3.6552 4.5264
3.6827 3.1189
1.4104 1.9817
3.2285 2.9206
0.3501 0.3452
0.0132 0.2792
4.6103 4.6011
0.6164 0.8673
2.1350 2.1987
2.0784 1.2154
1.4881 1.8659
1.0923 1.3067
2.7860 4.4009
1.3568 0.7743
9.2499 23.1979
1.8896 0.3452
3.9201 3.1152
14.7048 24.8260
4.1619 4.6217
2.9720 3.0656
85.0903 104.4867
4.3167 3.5860
5.7566 5.6118
3.8641 3.0182
1.7726 0.9010
0.2971 0.2810
2.4174 3.1539
1.6281 1.3949
3.6890 4.6543
0.1119 0.4853
2.6808 3.0723
0.0934 1.7760
2.9688 3.1189
2.0433 1.4825
3.3662 3.3883
2.6630 2.2418
3.3033 2.9466
5.0814 4.0258
1.5889 1.8586
4.4467 4.4561
54.2888 98.2803
11.2165 11.1923
69.2249 123.8571
3.3578 0.6351
5.8603 5.4400
1.4028 1.3080
1.6574 1.2876
8.6080 9.6884
0.4678 0.8580
1.0230 1.1765
3.2688 3.3102
5.8661 10.9228
3.4286 3.7446
2.5579 2.5263
18.7605 24.8260
2.2752 1.8883
3.0186 1.1316
3.8719 4.4025
1.8053 3.2748
9.4660 4.1453
0.8518 1.1316
0.1751 -0.2451
0.9358 0.2579
0.4809 0.3857
1.0860 2.1987
88.0766 78.1972
3.1189 3.5569
4.9033 5.6161
1.3004 0.9275
2.3870 1.7301
0.2792 0.2792
60.4274 74.7003
1.4636 1.0594
1.3951 1.7392
1.0654 1.3080
6.3031 5.8363
1.0332 1.7848
5.8303 5.6689
65.2917 76.2266
0.8092 1.5177
4.1043 3.6943
5.9244 4.5653
1.3215 1.4942
5.2654 5.5828
6.0291 22.2545
3.9662 7.8675
0.3132 0.7743
5.8802 5.9242
13.7297 10.5193
2.4134 2.2101
35.3792 110.1730
4.5196 3.7446
1.8681 1.8586
0.5098 0.4956
96.3504 96.0350
65.3716 90.5374
0.3375 1.0736
6.0593 5.9441
1.6298 4.9923
1.0992 1.2055
2.7346 1.6409
8.0897 6.9575
3.8862 1.8881
102.9152 102.9244
1.6738 1.7452
2.0178 1.7943
6.6629 5.6689
48.6465 69.9453
15.1186 69.9453
1.2444 1.5500
12.5656 9.6552
5.9244 4.5653
1.2967 1.7392
5.3392 4.6379
0.4475 -0.0293
3.2196 3.0182
0.5828 0.2579
1.7344 2.1987
0.9697 0.2340
2.3078 2.0525
1.8187 0.7743
9.8009 10.5814
14.5566 10.9228
0.8477 1.2876
8.7946 9.6552
16.8186 24.0821
6.4715 6.8165
3.3197 3.0409
1.2089 1.1717
0.7172 0.9010
3.0830 3.1237
0.2512 0.6703
1.4801 1.7848
2.5667 4.5123
0.4265 1.4689
0.1826 0.1763
6.4407 6.9688
0.9344 1.2055
2.6945 2.7303
2.3839 2.1942
1.3969 0.9429
4.0742 3.7126
0.7920 1.5500
2.1982 2.7032
1.2404 2.1374
0.9188 2.0525
2.0089 1.4825
39.6114 26.7902
0.3743 0.2579
148.3498 135.1058
0.7772 0.8651
5.5941 5.5996
7.6233 7.7031
2.1013 1.7298
6.4841 5.5828
1.8253 0.8782
1.3353 0.8651
1.8289 1.5500
10.6222 10.9073
1.1721 1.1717
4.5726 6.8165
0.0808 0.9412
1.1955 2.8269
0.3634 0.3025
0.0951 -0.0103
26.2057 26.3581
3.1859 2.2797
2.4406 2.6702
0.8501 1.0539
2.6233 2.7049
0.0399 0.5202
1.8128 0.8724
6.1757 6.2095
0.6258 0.2667
3.6996 3.5731
2.5420 2.9466
1.8472 1.1717
2.5212 2.1374
6.6464 6.9688
0.5825 0.2786
0.2287 1.0736
6.0645 10.9228
3.4002 3.9132
0.4006 1.5784
6.7982 6.8165
1.0284 1.3949
1.9314 3.7446
74.1802 71.9151
3.4355 4.2478
0.0382 -0.0220
0.2791 0.3025
4.9086 3.5860
2.5176 2.3729
2.9614 2.9658
0.7367 0.7367
0.0743 0.3826
1.8218 1.8659
3.3510 2.5492
3.5977 3.5569
138.2273 92.8932
0.0663 0.5030
1.5929 1.3092
5.0340 4.4951
11.4639 10.2322
0.7516 1.3949
1.3747 2.2724
1.3506 1.5177
7.1581 8.5425
1.9746 1.9817
5.2233 5.4394
0.4253 0.6351
1.8827 2.1308
3.4366 4.4951
4.1375 3.5569
0.4123 1.2465
1.7913 2.8441
24.8327 23.6304
1.1299 0.9847
18.0481 24.8260
1.2581 0.5393
4.9839 3.5511
2.8683 3.1539
2.0119 2.1942
7.3774 7.8675
3.2905 3.9132
1.5592 1.8304
7.8978 5.8363
8.8497 6.6438
0.5560 1.0064
43.1062 71.8929
3.8444 3.6943
43.9028 69.9453
4.6540 7.6117
3.1701 3.7126
6.6678 5.5366
1.8706 2.1942
0.0988 0.3452
0.7736 0.8782
12.4413 0.7511
5.6868 1.5784
61.1447 77.0231
3.5882 4.4951
0.9261 1.4133
1.0802 0.6351
3.7551 2.9206
12.5889 5.4241
2.2333 2.2326
5.9432 4.5264
1.8383 1.0902
0.9167 1.2233
1.7255 1.7839
4.6842 3.8038
1.9192 1.2154
0.4033 0.3025
0.3903 0.6703
3.2389 2.9902
3.8934 4.2545
3.9039 3.3102
3.2499 2.9127
3.7122 3.2872
101.8924 81.0449
78.5429 78.2960
3.6770 2.5492
7.5552 9.6884
117.4300 121.2808
7.5080 6.9688
4.3874 3.7446
2.1794 3.3266
0.4738 0.3857
19.6926 44.1677
3.1222 3.0723
3.8355 4.0258
1.6688 1.4709
2.4185 2.1374
28.7406 71.8929
1.2242 1.3949
1.6256 2.0525
0.6495 0.5202
1.9263 1.0811
139.3454 131.7100
2.9978 1.7298
0.1186 -0.0260
2.5420 2.9466
2.5453 2.4107
3.3624 3.5569
4.7814 3.5731
8.6443 6.9688
5.3924 5.1733
113.1668 112.6728
19.0062 25.6684
1.0492 0.9275
4.8665 4.6379
1.1308 1.0736
0.5161 0.2786
2.6438 3.5511
1.4642 1.7452
8.5044 10.5193
1.8099 1.8586
1.8165 1.2055
107.6163 114.4563
0.0402 0.9847
4.3665 5.4400
7.6721 6.5301
7.3628 6.8694
6.7408 5.6161
2.6808 3.0723
2.0775 1.1316
7.1905 6.2095
0.1049 1.0594
2.9270 2.3729
134.6206 133.2812
4.7396 4.6217
0.5381 1.2585
92.3451 127.8911
1.5833 1.3092
0.2839 0.2810
2.8271 2.7049
72.2444 71.1178
6.0285 8.5425
0.4441 1.7999
15.0129 44.8474
3.5532 2.4546
3.3154 3.5731
0.0108 0.3067
2.8447 2.8441
3.3688 3.5749
4.7126 4.1453
1.3697 0.7511
3.4504 1.0539
0.2181 0.3857
0.4135 -0.0276
5.8479 4.5123
0.4003 1.1717
8.2049 6.9688
2.2242 2.1374
2.2766 1.7943
1.5936 1.1101
1.3575 2.1374
2.8881 2.1693
4.3597 4.4933
4.3889 4.6949
0.6084 1.2876
4.6965 4.4561
2.8028 2.5548
6.7253 3.0656
1.2726 0.7429
1.5313 1.0594
2.7496 2.2101
3.7031 3.5731
7.5080 6.9688
4.9358 4.6011
0.8017 0.3857
36.7579 71.2773
76.4783 92.4939
1.8976 1.0064
0.9875 1.1101
4.7814 3.5731
0.9452 1.0064
1.2197 0.7367
6.2029 6.5834
54.4993 69.9453
0.8276 0.8724
3.5963 3.3102
12.8592 22.6081
1.2725 1.2585
0.4249 0.3067
0.0728 -0.0403
4.6837 5.4394
2.1114 1.7999
3.1246 2.2724
1.2661 1.7848
3.5204 4.4009
2.5677 1.8659
1.7970 3.2371
7.6129 5.4324
2.4045 3.9132
3.2092 3.1310
0.4625 0.7511
2.1107 1.2585
90.2249 81.0449
5.1834 4.4951
3.5181 2.2101
0.0587 0.9382
138.2273 93.4469
3.4895 3.0723
22.3008 44.1677
7.9452 11.1923
3.9196 5.9441
3.4539 3.5511
4.0282 3.5178
6.7519 6.5834
5.2348 4.4951
8.7280 6.5834
5.5027 6.6438
3.2552 3.5860
0.4960 0.6351
1.0694 0.8782
3.8509 5.3898
1.6986 1.8883
0.7865 1.4942
0.1124 1.3092
1.5700 1.4942
6.0741 4.4933
3.8167 4.5264
45.7129 69.9453
15.1120 24.0442
23.8564 24.1374
3.9755 3.1090
6.9170 6.9885
6.9264 4.4933
3.1531 3.0723
0.3801 0.4853
8.4497 6.9575
0.1266 0.8580
4.2923 4.4561
11.5499 10.9228
1.2214 2.2724
5.4584 4.6949
86.6920 98.4796
0.0668 0.2792
5.7864 6.9885
5.7961 4.0258
2.0381 2.8173
0.2693 0.8452
2.3775 2.5548
5.9450 3.1345
8.6955 7.7031
4.2836 3.5511
6.7246 5.9441
2.9403 3.2748
1.0537 1.4709
1.0927 1.7392
34.2556 69.9453
3.1400 2.4546
21.2076 44.8474
1.2493 1.6409
5.4500 4.8949
1.2543 4.4951
2.7014 1.2857
1.1028 1.2876
120.3760 93.4469
8.2429 6.9885
4.5314 4.5264
0.5158 0.3025
0.1050 0.3857
2.6893 2.2724
128.1356 124.9740
138.3701 127.8911
2.2198 3.1090
8.7234 6.7226
1.1567 0.9847
9.1028 6.5756
5.2285 2.8441
1.0356 0.6504
73.6938 78.2120
7.5865 2.9466
64.4054 68.7894
3.0178 2.2724
2.9902 3.5803
3.5650 3.5860
2.2227 2.7303
2.8562 5.1733
3.2517 3.7126
1.5840 0.8001
8.4433 10.5193
15.9054 23.3869
6.7779 4.6217
0.8058 1.0902
5.7868 5.4324
2.9364 4.6379
3.0794 2.2418
3.7227 4.4561
52.5947 91.0261
4.6560 3.0656
2.3937 2.6702
9.6034 7.5677
3.1717 2.9466
1.5017 3.1152
1.8573 1.8883
13.3999 7.2528
1.0158 0.8452
3.9203 2.9658
1.5713 1.2876
4.7322 2.1374
3.4986 2.9902
1.3083 1.0539
3.3609 3.3394
5.3229 5.1733
96.3504 96.0350
0.1936 0.2821
0.9641 1.8633
3.6507 4.4951
1.6638 1.3080
6.4545 6.2353
13.3771 10.9228
3.0520 1.4942
21.8953 24.3295
9.2606 7.5616
5.4873 4.1453
0.8490 1.2154
3.0124 3.1310
3.7561 2.5492
0.0907 0.3857
8.8313 5.6161
71.6642 76.2266
0.8366 3.3102
10.5632 6.2353
0.6495 0.5202
76.3528 76.2673
5.3735 7.5677
63.1744 127.8911
6.7071 4.4025
1.1605 0.5202
1.6182 1.7392
76.4783 92.4939
1.0923 0.9275
1.8143 2.0525
1.3400 2.9206
3.1574 3.1345
2.9338 3.1298
44.1580 5.4324
3.7112 3.2371
2.5359 3.0656
5.8926 2.9658
3.3048 2.8173
0.1529 0.3025
62.8007 78.3601
0.2392 0.7429
1.7299 1.1765
0.9433 2.4546
42.3225 44.8474
4.7945 4.4933
2.8028 2.5548
2.4406 2.6702
2.7051 4.6011
2.9942 2.5337
0.5290 0.1763
4.7492 1.7999
54.2697 69.9453
80.3663 123.4894
20.9990 23.6170
1.5110 1.7301
80.4445 82.3192
0.7395 0.3067
1.4583 1.1717
4.5657 5.6118
9.3157 4.5221
2.5612 2.5337
33.8635 71.8929
4.1301 6.5756
1.7187 1.2154
1.3940 1.3949
2.1438 1.8304
1.3575 2.1374
24.3762 11.5674
1.0901 0.7429
1.5902 1.2233
4.1200 4.5221
1.7182 2.2724
10.9678 4.2545
2.9768 3.1345
92.6551 98.4796
1.8140 2.2724
0.8445 1.2876
1.8892 2.4107
0.3825 0.3826
4.7495 5.6161
12.5822 11.3848
2.0435 2.7156
10.8478 10.9228
0.7467 7.7031
1.9986 1.4942
10.2570 10.9228
3.2345 2.8602
2.7258 3.5188
4.7267 3.5749
7.4213 24.8260
1.9037 2.7303
2.8058 4.5653
2.9000 3.5803
1.9642 4.5123
1.7798 1.7392
0.9285 1.0539
2.2543 2.1693
1.3963 2.1308
0.2586 0.4942
0.2922 0.3067
2.8247 1.4133
4.8459 6.1363
3.9862 3.5188
2.3896 1.2465
4.0423 5.4324
9.6184 11.5674
4.3990 5.6689
94.8019 86.6566
0.3214 2.9127
0.2959 0.6335
2.6632 2.3729
4.0142 4.4647
2.6183 4.6011
8.0528 5.6689
7.3463 5.5366
1.4910 2.2418
45.9265 45.8803
0.1160 0.6703
1.0409 0.4956
3.0779 3.5803
6.6320 6.2095
4.0282 3.5178
3.0208 4.2545
2.9518 4.1453
68.3223 123.8571
1.1078 1.8881
1.9216 2.2724
26.5506 44.1677
1.7279 1.3067
2.5748 3.1237
6.8325 7.4666
2.0479 1.8881
0.5395 0.3857
4.0493 3.3394
8.4722 6.1363
4.5845 3.5178
1.1487 0.9382
5.0676 3.8038
0.9569 1.1965
3.3388 5.5366
0.2259 0.2579
2.5021 3.7446
84.8531 84.0819
47.0385 44.8474
1.1721 2.1987
0.1722 0.4942
0.2010 0.2340
2.9536 3.0182
3.1241 3.3102
8.6148 22.2545
6.6604 5.6161
109.0645 119.8004
2.7491 2.3729
0.4951 0.3888
3.4112 1.4689
46.9925 79.0418
68.2454 79.4156
0.6064 1.8304
0.0953 -0.2953
4.9350 3.4072
1.0709 2.2101
7.8594 6.6438
66.8392 71.2773
0.0403 0.5030
0.9452 1.0064
0.4943 2.4107
60.9046 70.3846
3.2719 3.2872
3.0520 1.4942
16.5265 10.9073
0.1947 1.1717
0.1578 0.6504
2.3891 2.5492
79.1791 79.4156
0.2747 0.4956
2.0835 2.0525
2.0681 2.0525
0.4157 0.9429
1.7034 0.9041
4.7823 4.6949
7.3237 4.1424
0.8545 0.5030
78.3604 81.0449
6.2987 6.6438
0.2605 0.9412
2.7986 4.2478
1.6593 2.2724
1.2711 1.3080
2.5288 1.7760
15.0129 44.8474
5.9882 4.6396
0.2310 0.3025
3.0860 2.5492
0.3966 0.7429
4.1327 2.8173
11.6300 11.5674
3.1240 3.5178
13.9624 25.6684
3.6552 4.5264
0.1243 -0.1760
4.9090 5.4394
4.8004 4.9923
3.3510 2.5492
0.2512 0.6703
0.8107 0.8001
2.9759 2.9466
8.6383 7.6117
2.2962 2.9206
0.3746 0.7367
36.8687 76.2266
3.4845 3.1298
5.8927 5.8363
1.0006 0.8782
0.6804 1.1316
1.8560 2.7049
2.4585 2.5263
2.1514 6.2095
4.2751 6.5301
1.3032 1.7392
4.0376 3.7446
46.7468 69.9453
1.6800 0.9041
4.5283 4.6543
2.1326 2.2326
0.6271 0.7367
3.2048 3.5178
0.0598 0.2792
4.7414 4.5123
0.2098 0.9429
0.8052 0.6504
0.4719 0.3888
3.2394 3.2748
73.0574 80.2741
2.3146 3.1539
18.8498 10.2322
2.6843 2.7032
4.4736 3.3394
6.5757 4.1424
4.0459 3.5511
5.7174 5.5996
9.1674 6.9526
23.4181 23.4673
0.9685 1.1316
0.0055 0.5202
0.2392 0.7429
2.6588 1.7999
3.3815 1.7999
4.5785 2.9127
6.9431 5.5828
5.4069 5.5828
4.0969 4.2545
2.0580 3.0409
0.1123 0.2667
2.4047 2.5492
2.9493 3.0182
4.1327 3.1152
4.2573 2.9658
0.5169 0.3857
6.0525 10.9228
30.8525 44.1677
134.8502 135.1058
11.7055 6.9575
1.4731 2.5337
2.0038 1.5500
0.0947 -0.0711
1.6663 1.4689
1.8348 1.8633
0.0932 -0.1445
22.7742 44.1677
2.1742 0.9382
2.2957 2.6702
2.3447 2.9466
5.8584 4.6543
2.0148 0.7429
1.9426 1.4709
12.4413 0.7511
2.1238 2.1942
79.5733 79.3592
5.3750 4.4933
3.7506 3.5803
26.1707 44.1677
4.5703 5.8363
98.7815 107.3543
94.9339 90.3624
5.4803 5.6689
6.4030 4.6217
52.6179 95.9434
0.6848 0.9382
5.5489 6.6438
53.5763 74.7556
1.6163 1.2857
64.8181 78.5152
0.3639 0.3857
0.8778 1.1717
4.1295 4.1424
8.2939 10.5193
2.9335 4.2776
2.5287 2.8173
2.5226 3.5749
1.2976 2.7156
3.4982 3.3394
16.4597 44.8474
2.2882 3.1237
5.0695 5.4241
4.1752 2.4546
3.4345 4.4951
1.7268 1.7943
0.5920 1.0942
3.4079 3.4072
29.5196 44.1677
4.9086 3.5860
46.4110 44.1677
8.4131 7.0007
5.8951 5.5366
10.5627 10.5814
5.6048 6.6438
5.8552 5.4394
0.7652 0.7743
8.8497 6.6438
3.5950 3.5188
2.1234 2.5492
7.5101 7.5616
3.6779 3.2371
3.0896 2.7303
3.3081 5.4394
2.5525 3.2748
0.3724 0.3025
0.6282 3.5178
0.7813 1.3080
1.9230 3.0656
6.0662 6.1363
4.7811 2.6702
4.4157 4.5264
0.5968 0.2667
2.1438 1.8304
0.1531 0.3826
4.4936 4.4951
1.6926 1.0539
6.8986 6.9688
2.6745 2.9127
2.9990 2.7303
1.4904 1.7760
1.9572 1.9817
3.9054 4.6011
2.0080 1.4689
3.3801 4.5123
4.6712 4.9923
1.8143 2.0525
1.9053 1.4689
0.9764 2.0658
2.1533 2.2418
0.8607 1.7999
2.0997 2.8173
0.8793 0.6504
5.1310 3.0409
1.3512 1.7452
4.5103 3.9132
7.7770 7.7031
16.3265 44.1677
3.5401 3.1237
5.5934 3.5749
0.4834 0.9847
4.7396 4.6217
4.3811 2.2326
1.6353 2.2418
0.8837 0.9382
5.1943 5.5828
5.6480 5.9441
2.7014 1.2857
62.3113 69.9453
0.5984 1.0811
1.8287 0.4853
0.5923 0.2792
2.6254 2.8441
5.0632 4.5221
5.0221 3.7126
3.6602 4.4647
2.2759 1.7760
1.5608 1.7943
2.1244 2.5492
2.9403 3.2748
1.0959 1.1316
4.0324 3.5803
0.1768 0.3025
6.8562 5.8363
0.9685 1.1316
3.7570 3.3102
115.6417 127.8911
8.3678 11.5674
0.5917 1.0811
6.9881 7.0007
0.9270 0.9275
6.2532 4.9923
2.1017 5.6693
0.2371 0.2579
1.9093 2.1693
36.8687 76.2266
78.7430 78.7501
